max_service_time,avg_waited_time,avg_served_customers
1,0.00,51.40
2,0.00,49.97
3,0.00,52.20
4,0.63,50.67
5,3.77,50.80
6,10.03,50.87
7,17.17,49.00
8,32.00,49.03
9,80.93,48.70
10,134.83,47.43
11,245.13,47.10
12,265.23,43.43
13,368.00,41.53
14,382.50,39.10
15,418.77,38.33
16,450.03,34.47
17,532.43,34.67
18,504.87,32.70
19,549.60,30.47
20,550.43,29.83
