arrival_prob,avg_waited_time,avg_served_customers
0.05,11.37,4.57
0.10,68.13,9.07
0.15,158.10,11.70
0.20,235.40,12.20
0.25,303.70,12.77
0.30,365.27,12.80
0.35,389.67,12.77
0.40,391.07,12.73
0.45,425.10,13.03
0.50,446.00,13.17
0.55,452.53,12.87
0.60,457.77,12.80
0.65,487.33,13.20
0.70,475.30,12.80
0.75,512.17,13.57
0.80,519.70,12.80
0.85,525.23,13.30
0.90,526.77,12.57
0.95,548.33,13.27
1.00,547.57,13.20
